_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
662015daa45a2d53710a707b,,36.2,97.33,36.2,64.33,181;0;0;0,time,60,-1,0,60,0,0,true,false,english,58008,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713378778000
66201580a45a2d53710a6b07,,24.8,92.59,24.8,47.18,124;0;0;0,time,60,-1,3,60,3,15.39,true,false,english,58008,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713378688000
66201527a45a2d53710a65c1,,23.2,91.41,23.2,40.18,116;0;0;0,time,60,-1,0,60,5,0,true,false,english,58008,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713378599000
661ea706a45a2d5371faf89c,,81.4,97.15,82.4,37.33,407;3;1;0,time,60,-1,0,60,4,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284870000
661ea6a1a45a2d5371faf2b9,,49,94.68,49,62.74,245;0;0;0,time,60,-1,1,60,0,1.63,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284769000
661ea613a45a2d5371faea44,,43.4,92.15,43.4,65.54,217;0;0;0,time,60,-1,0,60,0,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284627000
661ea57fa45a2d5371fae149,true,50.4,94.81,51.4,64.99,252;1;0;4,time,60,-1,0,60,0,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284479000
661ea53ba45a2d5371fadcd3,,33.4,85.78,35.6,52.92,167;1;0;0,time,60,-1,1,60,0,11.72,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284411000
661ea4afa45a2d5371fad3b6,true,52.8,97.08,52.8,60.57,264;0;0;0,time,60,-1,1,60,0,10.73,false,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284271000
661ea45fa45a2d5371facebd,true,51.2,90.48,52,69.12,128;1;0;0,time,30,-1,2,30,0,22.3,false,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284191000
661ea3f1a45a2d5371fac814,,79.6,95.73,80.8,76.36,199;1;0;0,time,30,-1,1,30,0,0.84,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713284081000
661d7e70a45a2d5371efc15f,,44,94.09,44.4,59.62,220;2;0;0,time,60,-1,0,60,0,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208944000
661d7e2ca45a2d5371efbe1f,,37.2,90.14,37.6,57.8,186;1;0;0,time,60,-1,7,60,0,45.93,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208876000
661d7d95a45a2d5371efb75a,,43.2,92.05,43.2,55.26,216;0;0;0,time,60,-1,1,60,0,14.91,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208725000
661d7d34a45a2d5371efb29b,true,49.4,95.38,49.4,57.76,247;0;0;0,time,60,-1,2,60,0,12.65,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208628000
661d7c8ca45a2d5371efaa3a,true,46.4,92.89,46.4,59.39,232;0;0;0,time,60,-1,0,60,1,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208460000
661d7c40a45a2d5371efa627,,41.6,96.83,41.6,47.57,208;0;0;0,time,60,-1,0,60,1,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208384000
661d7bf6a45a2d5371efa263,true,45.2,94.31,45.2,51.57,113;0;0;0,time,30,-1,0,30,0,0,true,false,code_python_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713208310000
661c047aa45a2d5371e189d6,,80.39,99.01,80.39,74.49,201;0;0;0,time,30,-1,2,30,0,18.37,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713112186000
661c0435a45a2d5371e18786,,80.79,95.77,81.99,74.2,202;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713112117000
661c0409a45a2d5371e185da,,77.6,97.04,77.6,66.59,194;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1713112073000
6616e01dedab6d8ac563f39e,,79.99,97.57,79.99,76.3,200;0;0;0,time,30,-1,2,30,0,3.1,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712775197000
6616dfddedab6d8ac563efff,,80.39,96.67,80.39,72.9,201;0;0;0,time,30,-1,1,30,0,13.26,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712775133000
6616df79edab6d8ac563ea54,,81.19,99.03,81.19,72.96,203;0;0;0,time,30,-1,5,30,0,10.96,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712775033000
6616dee1edab6d8ac563e21f,,80.6,98.78,80.6,77.15,403;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774881000
6616de64edab6d8ac563db38,,64.4,97.29,64.4,74.34,322;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774756000
6616de1eedab6d8ac563d76f,,59,94.59,59,64.88,295;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774686000
6616dd99edab6d8ac563d071,,55.8,94.75,57.6,75.56,279;2;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774553000
6616dd4bedab6d8ac563cc7d,true,58.8,95.45,58.8,70.76,272;0;0;0,custom,custom,-1,0,55.51,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774475000
6616dcdfedab6d8ac563c6bd,,63,97.23,63,70.56,315;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774367000
6616dc8bedab6d8ac563c24c,,63,97.53,63,72.7,315;0;0;0,time,60,-1,1,60,0,1.48,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774283000
6616dc38edab6d8ac563bde7,,61.6,96.59,61.6,74.6,308;0;0;0,time,60,-1,3,60,0,4.98,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774200000
6616dbd3edab6d8ac563b8b0,,61.79,95.17,63.59,72.41,309;2;0;0,time,60,-1,0,60.01,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712774099000
6616d6a4edab6d8ac5637149,,50.68,95.68,50.68,65.63,459;0;0;0,custom,custom,-1,0,108.69,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712772772000
6616d630edab6d8ac5636b36,,56.8,94.65,60.4,73.25,284;1;0;1,time,60,-1,2,60,0,109.4,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712772656000
6616d4e9edab6d8ac5635979,,54.86,95.59,54.86,60.3,255;0;0;0,custom,custom,-1,0,55.78,2,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712772329000
6616d47fedab6d8ac5635404,true,64.8,98.19,64.8,74.77,324;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712772223000
661063e12d7b733f881f1929,,62.2,95.73,62.2,70.42,311;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712350177000
661041ce2d7b733f881db09b,,60.4,96.2,60.4,71.44,302;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712341454000
660ec58a3a4c3e110b76cb57,,60.2,96.52,60.2,71.65,301;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1712244106000
6609b500a83430aa1ab4cb5f,,50.19,94.18,51.17,64.9,411;1;0;0,custom,custom,-1,0,98.27,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711912192000
6609b495a83430aa1ab4c7fc,,59.4,95.3,60.6,66.8,297;1;0;0,time,60,-1,2,60,0,9.9,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711912085000
6609b35ba83430aa1ab4bdf9,true,73.22,96.39,73.66,70.32,501;0;0;1,words,100,-1,3,82.11,0,29.41,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911771000
6609b265a83430aa1ab4b5b5,true,84.65,98.5,84.65,75.26,262;0;0;0,words,50,-1,1,37.14,0,1.32,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911525000
6609b196a83430aa1ab4aec3,,65.6,95.18,67.2,73.11,328;1;0;0,time,60,-1,1,60,0,2.86,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911318000
6609b13da83430aa1ab4abcf,,67.6,94.43,67.6,70.66,338;0;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911229000
6609b0e6a83430aa1ab4a8df,,68.4,95.58,69.2,73.63,342;2;0;0,time,60,-1,1,60,0,0.11,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911142000
6609b05aa83430aa1ab4a4b8,,71.2,96.79,72.2,66.82,356;0;0;1,time,60,-1,4,60,1,2.6,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711911002000
6609b00da83430aa1ab4a225,,63,97.39,63,74.86,223;0;0;0,custom,custom,-1,0,42.48,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910925000
6609afdea83430aa1ab4a097,,62.59,91.98,62.59,64.17,337;0;0;0,custom,custom,-1,0,64.61,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910878000
6609af81a83430aa1ab49d8c,,75.4,97.69,75.4,73.73,377;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910785000
6609af3ea83430aa1ab49ba0,,63.63,93.61,63.63,62.62,574;0;0;0,custom,custom,-1,0,108.26,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910717000
6609aec3a83430aa1ab497c7,,71.4,95.49,71.4,72.12,357;0;0;0,time,60,-1,4,60,0,20.6,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910595000
6609ae54a83430aa1ab4941f,,88,97.37,88,78.09,110;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910484000
6609ae3ea83430aa1ab49376,,86.37,98.25,91.17,84.21,108;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711910462000
6606e99c1508496677f697e9,,72,94.9,75.2,68.45,90;0;0;1,time,15,-1,1,15,0,1.56,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711729052000
6604784b1508496677e0b57d,,81.59,97.14,81.59,74.45,102;0;0;0,time,15,-1,3,15,0,2.49,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568971000
660478251508496677e0b3d7,,62.4,91.95,64.8,63.74,78;1;0;0,time,15,-1,0,15,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568933000
660478121508496677e0b306,,70.4,96.74,70.4,70.31,88;0;0;0,time,15,-1,1,15,0,0.96,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568914000
660477fe1508496677e0b21a,,66.39,91.67,74.39,77.32,83;4;1;0,time,15,-1,0,15,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568894000
660477e91508496677e0b137,true,73.6,98.94,73.6,71.78,92;0;0;0,time,15,-1,1,15,0,5.88,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568873000
660477cc1508496677e0afdc,true,69.6,95.7,74.4,71.63,87;2;0;2,time,15,-1,1,15,0,3.33,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568844000
660477a51508496677e0ae38,,61.6,92.11,62.4,63.59,308;1;0;0,time,60,-1,1,60,0,0.17,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568805000
660475eb1508496677e09b2d,,68.2,94.78,68.2,73.79,341;0;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711568363000
660437bd1508496677dd475e,,60,95.3,60,73.29,300;0;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711552445000
6604377f1508496677dd43cc,,45.01,91.88,45.01,53.59,278;0;0;0,custom,custom,-1,0,74.11,5,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711552383000
6604372f1508496677dd3f82,,63.6,94.69,63.6,69.55,318;0;0;0,time,60,-1,2,60,0,7.29,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711552303000
6603994f1508496677d760d7,,44.63,87.72,44.63,61.7,198;0;0;0,custom,custom,-1,0,53.24,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511887000
660399151508496677d75f26,,62,96,62,66.76,310;0;0;0,time,60,-1,1,60,0,2.66,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511829000
660398d21508496677d75d0f,,45.74,90.45,45.74,49.09,153;0;0;0,custom,custom,-1,0,40.14,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511762000
660398a51508496677d75b85,,61.4,97.5,61.4,67.23,307;0;0;0,time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511717000
660398661508496677d759a6,,58.16,97.04,58.16,68.28,163;0;0;0,custom,custom,-1,0,33.63,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511654000
6603983c1508496677d7585a,,67.59,98.26,67.59,74.08,338;0;0;0,time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511612000
660397f51508496677d75615,,39.76,86.73,39.76,64.61,169;0;0;0,custom,custom,-1,0,51,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511541000
660397be1508496677d7547b,,60.4,97.42,60.4,65.54,302;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511486000
660397781508496677d75230,,44.74,94.43,44.74,67.95,417;0;0;0,custom,custom,-1,0,111.84,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511415000
660397021508496677d74e62,,50.2,93.04,50.2,65.86,251;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511298000
660396bb1508496677d74c10,,53.95,95.82,53.95,71.97,344;0;0;0,custom,custom,-1,0,76.52,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511227000
660396661508496677d74979,,56.2,96.61,56.2,71.17,281;0;0;0,time,60,-1,1,60,0,1.18,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711511142000
6601be741508496677c58cf8,,58.4,95.48,58.4,71.26,292;0;0;0,time,60,-1,2,60,0,3.36,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711390323000
6600a2681508496677bb3018,,58.8,95.87,60,75.5,294;1;0;0,time,60,-1,4,60,0,37.34,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711317608000
6600a1f61508496677bb2ce8,,61.4,95.24,63.6,70.26,307;1;0;0,time,60,-1,1,60,0,7.21,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711317494000
65fd9a019c9c7becc57d143c,,58.4,94.25,58.4,69.08,292;0;0;0,time,60,-1,1,60,0,1.42,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711118849000
65fd995f9c9c7becc57d0b20,true,64.2,96.7,64.2,78.07,321;0;0;0,time,60,-1,5,60,0,16.7,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711118687000
65fd98ce9c9c7becc57d02f2,,58.6,97.35,58.6,67.17,293;0;0;0,time,60,-1,1,60,0,4.47,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711118542000
65fd987a9c9c7becc57cfe3b,,59.6,94.34,59.6,71.33,298;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711118458000
65fc84dc9c9c7becc573806c,,55.8,92.31,57.2,66.37,279;2;0;0,time,60,-1,1,60,0,0.12,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047900000
65fc84979c9c7becc5737cf2,,43.8,90.7,45.09,55.94,307;0;0;1,custom,custom,-1,0,84.1,1,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047831000
65fc843c9c9c7becc57377f7,,54.6,96.49,54.6,65.71,273;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1711047740000
