_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
657bf1f16dbc38d1314f872c||33.4|90|33.4|38.02|48,0,0,0|words|10|-1|0|17.25|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621681000
657bf1db6dbc38d1314f8692||45.8|94.44|45.8|46.87|47,0,0,0|words|10|-1|0|12.31|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621659000
657bf1c76dbc38d1314f85ec||60.01|94.23|60.01|80.64|48,0,0,0|words|10|-1|0|9.6|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621639000
657bf1b86dbc38d1314f856c||50.98|89.09|56.53|60.45|46,1,0,0|words|10|-1|0|10.83|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621624000
657bf1a76dbc38d1314f84f1||46.4|91.67|46.4|62.93|53,0,0,0|words|10|-1|0|13.71|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621607000
657bf13d6dbc38d1314f81f2|true|68.57|98.11|68.57|70.12|51,0,0,0|words|10|-1|0|8.92|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621501000
657bf1316dbc38d1314f8194||54.24|92.19|54.24|66.76|57,0,0,0|words|10|-1|0|12.61|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621489000
657bf11d6dbc38d1314f80ed|true|62.38|93.62|71.51|73.32|41,2,0,0|words|10|-1|0|7.89|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621469000
657bf10d6dbc38d1314f807a||57.94|92.42|57.94|50.95|58,0,0,0|words|10|-1|0|12.01|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621453000
657bf0ef6dbc38d1314f7f9b|true|58.77|91.94|58.77|55.48|57,0,0,0|words|10|-1|0|11.64|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621423000
657bf0cb6dbc38d1314f7e7d||50.59|88.48|50.59|66.58|146,0,0,0|words|25|-1|0|34.63|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621387000
657bf09e6dbc38d1314f7cf1||51.56|91.89|54.38|68.5|128,1,0,0|words|25|-1|0|29.79|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621342000
657bf07b6dbc38d1314f7bc6|true|55.26|92.91|55.26|64.7|130,0,0,0|words|25|-1|0|28.23|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621307000
657bf0496dbc38d1314f7a3e|true|51.48|93.84|53|55.22|135,1,0,1|words|25|-1|0|31.47|2|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621257000
657bf0216dbc38d1314f78ef|true|50.87|94.67|50.87|60.37|139,0,0,0|words|25|-1|0|32.79|0|0|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621217000
657beff66dbc38d1314f77b3|true|46.55|91.67|48.98|61.99|134,1,0,0|words|25|-1|1|34.54|0|9.96|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702621174000
657be5126dbc38d1314f2326||38.56|88.41|39.11|53.12|139,0,0,6|words|25|-1|1|43.26|0|1.03|false|false|english_1k|weakspot|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702618386000
657be2a46dbc38d1314f106f||41.6|92|44|57.07|104,1,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617764000
657be27b6dbc38d1314f0f41||47.6|92.97|47.6|58.57|119,0,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617723000
657be2556dbc38d1314f0df8||46.79|93.02|47.99|63.41|117,1,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617685000
657be2316dbc38d1314f0cf1||32.39|88.78|33.19|37.78|81,1,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617649000
657be1566dbc38d1314f0684||29.73|90.26|29.73|63.49|137,0,0,0|words|25|-1|0|55.29|0|0|false|false|english|gibberish|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617430000
657be1156dbc38d1314f0492||29.62|82.25|30.57|42.5|124,1,0,1|words|25|-1|0|50.24|0|0|false|false|english|earthquake|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617365000
657be0cf6dbc38d1314f02af|true|44.56|90.76|44.56|59.98|220,0,0,0|words|25|-1|1|59.25|0|2.35|false|false|english|ddoouubblleedd|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617295000
657be06b6dbc38d1314effaa||30.8|88.57|31.84|49.69|118,1,0,0|words|25|-1|0|45.97|2|0|false|false|english|choo_choo|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617195000
657be02a6dbc38d1314efdba|true|33.63|90.2|33.63|48.33|131,0,0,0|words|25|-1|0|46.74|3|0|false|false|english|choo_choo|normal|false|false|false|6549a314c46e6fc4875bdfdf|1702617130000
